file,hypothesis,reference,duration,word_count
ARA NORM  0044.wav,كما تم تحسين واجهات التنقل واختيار وسائل النقل المناسبة بشكل كبير,kamA tam~a taHsiynu wAjihAti lt~anaq~ul - wAxtiyAri wasA}ili ln~aqli lmunAsibapi bi$aklin kabiyr,8.82,11
ARA NORM  0045.wav,كما توفيت الروائية البارزة والأستاذة الجامعية المصرية رضوى عاشور عن ثماني وستين عاماً,kamA tuwuf~iyati lr~iwA}iy~apu lbArizapu - wAl>ustA*apu ljAmiEiy~apu lmiSriy~apu - raDwY EA$uwr - Ean ^amAniy wasit~iyna EAman,13.23,13
ARA NORM  0046.wav,كما شارك الطالبات من مدارس فلسطينية الفنانة التركية في عمل لوحات,kamA $Arakat TAlibAtun min madArisa filasTiyniy~apin - >alfan~Anapa lt~urkiy~apa fiy Eamali lawHAt,8.97,11
ARA NORM  0047.wav,لامس مذنب يطلق عليه اسمه Siding Spring كوكب المريخ عند مروره بمحاذاته,lAmasa mu*an~abun yuTlaqu Ealayhi <ismu - sAydiyng sbriyng - kawkaba lmir~iyxi Einda muruwrihi bimuHA*Atih,9.93,12
ARA NORM  0048.wav,لقد ساهمت التكنولوجيا في تقليل النزاعات الأسرية، وأعطت لكل فرد نوعا من الاستقلالية.,laqad sAhamati lt~iknuluwjyA fiy taqliyli ln~izAEAti l>usariy~api - wa>aETat likul~i fardin nawEan mina l<istiqlAliy~api,10.75,13
ARA NORM  0049.wav,لكن مصدرا في الوفد قال إن السعر سينخفض بعد انخفاض أسعار النفط في العالم,lakin~a maSdaran fiy lwafdi qAl - <in~a ls~iEra sayanxafiDu baEda nxifADi >asEAri ln~afTi fiy lEAlam,8.88,14
ARA NORM  0050.wav,لم يمنع ضعف موارد التمويل وارتفاع كلفة المشاركات الدولية رياضة الفروسية في تونس من أن تستقطب المئات من عشاقها في بلد يكاد الاهتمام فيه يقتصر على رياضات شعبية معينة.,lam yamnaE DaEfu mawAridi lt~amwiyl - wArtifAEu kulfapi lmu$ArakAti ld~awliy~api - riyADapa lfuruwsiy~api fiy tuwnusa min >an tastaqTiba lmi}At - min Eu$~AqihA fiy baladin yakAdu l<ihtimAmu fiyhi yaqtaSir - EalY riyADAtin $aEbiy~apin muEay~anapin,22.56,29
ARA NORM  0051.wav,ليضعاب ذلك حدًا للعديد من التقارير التي أكدت إمكانية رحيل اللاعب المشاغب قريبًا.,liyaDaEA bi*alika Hadaan - lilEadiydi mina lt~aqAriyr - >al~atiy >ak~adat <imkAniy~apa raHiyli ll~AEibi lmu$Agibi qariybaan,10.76,13
ARA NORM  0052.wav,مضيفاً نحاول خلق فرص عمل بأيدينا,muDiyfan - nuHAwilu xalqa furaSi Eamalin bi>aydiynA,4.84,6
ARA NORM  0053.wav,وذلك مقارنة مع المحاصيل الزراعية الأخرى,wa*alika muqAranapan maEa lmaHASiyli lz~irAEiy~api l>uxrY,5.08,6
ARA NORM  0054.wav,ملقيا الضوء على قادية الفتنة الطائفية في المجتمع المصري بأسلوب بسيط من خلال علاقات الأطفال في المدرسة بزميلهم المسيحي.,mulqiyan lD~aw'a EalY qaDiy~api lfitnapi lT~A}ifiy~api - fiy lmujtamaEi lmiSriy~i bi>usluwbin basiyTin - min xilAli EalAqAti l>aTfAl - fiy lmadrasapi bizamiylihimu lmasiyHiy~i,16.07,19
ARA NORM  0055.wav,مما يدعم نتائج دراسات سابقة تحذر من مخاطر الإفراط في استعمال الجوّال.,mim~A yadEamu natA}ija dirAsAtin sAbiqapin - tuHa*~iru min maxATiri l<ifrATi fiy stiEmAli ljaw~Al,8.91,12
ARA NORM  0056.wav,من بينها الاستقرار ونوعية الرعاية الصحية والثقافة والبيئة والتعليم والبنية التحتية.,min baynihA >al<istiqrAru wanawEiy~apu lr~iEAyapi lS~iH~iy~api wAl^~aqAfapi wAlbiy}api wAlt~aEliymi wAlbinyapi lt~aHtiy~api,10.09,11
ARA NORM  0057.wav,منها أقمشة وأدوات معدنية وخشبية وقنان بلاستيكية وزجاجية وأوراق صحف,minhA >aqmi$apun wa>adawAtun maEdaniy~apun waxa$abiy~apun - waqinAnun blAstiykiy~apun wazujAjiy~apun wa>awrAqu SuHuf,11.08,10
ARA NORM  0058.wav,هل الصيام تأثير على عمل المسلمين في الشركات بأوروبا؟,hal lilS~iyAmi ta>^iyrun EalY Eamali lmuslimiyna fiy l$~arikAti bi>uwruwb~A,5.98,9
ARA NORM  0059.wav,هناك فكرة طرحة بادي الأمر بعقد قمة أوروبية في سرييفو بهذه المناسبة,hunAka fikrapun TuriHat bAdi}a l>amr - biEaqdi qim~apin >uwruwbiy~apin fiy sarayiyfuw biha*ihi lmunAsabapi,8.92,12
ARA NORM  0060.wav,ويمكن أن تُحصد الثمار على مدى فترة زمنية طويلة,wa yumkinu >an tuHSada l^~imAr - EalY madY fatrapin zamaniy~apin Tawiylapin,6.53,9
ARA NORM  0061.wav,وأحرز المركز الثالث الروائي الجزائري أحمد طيباوي عن روايته موت الناعم,wa>Hraza lmarkaza l^~Ali^ - >alr~iwA}iy~u ljazA}iriy~u - >aHmadu TiybAwiy Ean riwAyatihi - mawtun nAEim,10.79,11
ARA NORM  0062.wav,واختم البرازيليون مبارياتهم الإعدادية بالفوز على سربيا بهدف وحيد سجله المهاجم فريد في الشوط الثاني من المباراة التي أقيمت في ساو باولو,wAxtatama lbarAziyliy~uwna mubArAyAtihimi l<iEdAdiy~apa biAlfawzi EalY SirbyA bihadafin waHiydin - saj~alahu lmuhAjimu farydun fiy l$~awTi l^~Aniy mina lmubArApi - >al~atiy >uqiymat fiy sAwbAwluw,17.31,22
ARA NORM  0063.wav,واشتهر الراحل بمقالاته وكتبه الرصينة التي تضمنت قراءات مستقبلية للآفاق السياسية والاجتماعية في العالم العربي الإسلامي.,wA$tahara lr~AHilu bimaqAlAtihi wakutubihi lr~aSiynapi - >al~atiy taDam~anat qirA'Atin mustaqbaliy~apan lil>AfAqi ls~iyAsiy~api wAl<ijtimAEiy~api - fiy lEAlami lEarabiy~i l<islAmiy~i,16.61,16
ARA NORM  0064.wav,وأصبح هذا الصرح مدحفاً رسمياً,wa>aSbaHa ha*A lS~arHu matHafan rasmiy~an,3.62,5
ARA NORM  0065.wav,وأضاف البيان أن فريقا من الأطباء والممرضات واختصاصيين آخرين في مجال الصحة يعتنون بما دل على مدار الساعة,w>aDAfa lbayAnu an~a fariyqaan min l>aTib~A'i wAlmumar~iDAt - w<ixtiSASiy~iyna >Axariyna fiy majAli lS~iH~api - yaEtanuwna bimAndiyl~A EalY madAri ls~AEapi,14.13,18
ARA NORM  0066.wav,واعتبروها فلسفة روحية متكاملة لتحرير الجسم والفكر,wAEtabaruwhA falsafapan ruwHiy~apan mutakAmilapan litaHriyri ljismi wAlfikr,6.15,7
ARA NORM  0067.wav,التوحد هو مجموعة اترابات عصبية في التطور تشمل أعراضها وجود مشاكل في السلوك الاجتماعي للشخص المصاب,>alt~awaH~udu huwa majmuwEapu DTirAbAtin EaSabiy~apin fiy lt~aTaw~ur - ta$malu >aErADuhA wujuwda ma$Akila fiy ls~uluwki lAjtimAEiy~i - lil$~axSi lmuSAb,13.91,16
ARA NORM  0068.wav,والعمل الرئيسي له هو روايته الملحمية مأة عام من العزلة التي نال عنها جائزة نوبل في الأدب عام 1982.,wAlEamalu lr~a}iysiy~u lahu huwa riwAyatahu lmalHamiy~apu - mA}apu EAmin mina lEuzlapi - >al~atiy nAla EanhA jA}izapa nuwbila fiy l>adab - EAma >alfin watisEimi}apin wa<i^nAni wa^amAnuwn,17.53,19
ARA NORM  0069.wav,والميكونج وسالوين في جنوب شرق آسيا,wAlmiykuwng was>aluwyn fiy januwbi $arqi >AsyA,4.38,6
ARA NORM  0070.wav,وأن أهم معوّقات نجاحها تكمن في عدم تفرغ أصحابها لإدارتها,wa>n~a >aham~a muEaw~iqAti najAHihA takmunu fiy Eadami tafar~ugi >aSHAbihA li<idAratihA,7.79,10
ARA NORM  0071.wav,وأوضح الباحثون أن سوء التغذية هو السبب الرئيسي لتوقف النمو عند الأطفال,wa>awDaHa lbAHi^uwna >an~a suw'a lt~ag*iyapi - huwa ls~ababu lr~a}iysiy~u litawaq~ufi ln~umuw - Einda l>aTfAl,9.79,12
ARA NORM  0072.wav,وأوضحت المجلة أن السبب في ذلك يرجع إلى تضيق الشعب الهوائية وتشنُّجها بفعل الهواء البارد.,wa>awDaHati lmajal~apu >an~a ls~ababa fiy *alika - yarjiEu <ilY taDay~uqi l$~uEabi lhawA}iy~api wata$an~ujihA bifiEli lhawA'i lbArid,11.49,15
ARA NORM  0073.wav,وبات أتلتكو مدريد في صدارة الترتيب العام بأربع نقاط,wabAta >atlitiykuw madriyd fiy SadArapi lt~artiybi lEAm~i - bi>arbaEi niqAT,6.92,9
ARA NORM  0074.wav,وبالتالي تساعد على البيقاية من الإمساك,wabiAlt~Aliy tusAEidu EalY lwiqAyapi mina l<imsAk,4.32,6
ARA NORM  0075.wav,وذلك بزيارة جمهور خاص جداً سنوياً,wa*alika biziyArapi jumhuwrin xAS~in jid~an sanawiy~an,5.03,6
ARA NORM  0076.wav,وبسبب شكوك بأن الطائرة كانت تقل إدوارد سنودن الذي تتهمه واشنطن بالتجسس,wabisababi $ukuwkin bi>an~a lT~A}irapa kAnat tuqil~u idwArd snuwdun - >al~a*iy tat~ahimuhu wA$inTun biAlt~ajas~us,9.83,12
ARA NORM  0077.wav,وبعثوا رسالة إلى الرئيس تتضمن مطالب لعودتهم,wabaEa^uwA risAlapan <ilY lra~}iysi tataDama~nu maTAliba liEawdatihim,5.69,7
ARA NORM  0078.wav,وبعد شهور من الحيرة والقلق تعرفك أمار على مركز عبدالله بن زيد الثقافي للتعريف بالإسلام,wabaEda $uhuwrin mina lHayrapi wAlqalaq - taEara~fa kuwmAr EalY markazi Eabdi llhi bni zaydi l^a~qAfiy~i - lilta~Eriyfi biAl<islAm,12.54,15
ARA NORM  0079.wav,وبهذا يبقى مئة وستة وثلاثون محتجزا في المعتقل المثير للجدل,wabiha*A yabqY mi}apun wasit~apun wa^~l>a^uwna muHtajazan fiy lmuEtaqali lmu^iyri liljadal,7.78,10
ARA NORM  0080.wav,وتستخدم في بعض الدول وسائل علاج مختلفة,watustaxdamu fiy baEDi ld~uwal - wasA}ilu EilAjin muxtalifapun,5.76,7
ARA NORM  0081.wav,وتطور استخدام الطائرات العاملة بدون طيار وبدأت الساعات الذكية الانتشارة وكذلك الطباعة الثلاثية الأبعاد,wataTaw~ara stixdAmu lT~A}irAti lEAmilapi biduwni Tay~Ar - wabada>ati ls~AEAtu l*~akiy~apu al<inti$Ara - waka*alika lT~ibAEapu l^~ulA^iy~apu l>abEAd,13.66,14
ARA NORM  0082.wav,وجاء هذا القرار بعد إعلان السعودية تخفض أعداد الحجاش هذا العام,wajA'a ha*A lqarAr - baEda <iElAni lsa~Euwdiya~pi taxfiyDa >aEdAdi lHuja~Aji ha*A lEAm,7.97,11
ARA NORM  0083.wav,وجاءت الأرقام صادمة فيما يخص الشرق الأوسط,wajA'ati l>arqAmu SAdimapan - fiy mA yaxuS~u l$~arqa l>awsaT,5.93,7
ARA NORM  0084.wav,وصدرت الرسائل باسم مبدعي وفناني مصر,waSadarati lr~asA}il - bi<ismi mubdiEiy wafan~Aniy miSra,5.35,6
ARA NORM  0085.wav,وفي افتتاح المؤتمر، قالت الشاعرة شريفة السيد إن العقاد اتخذ من القراءة والاطلاع على كل العلوم ومختلف الحضارات سلاحا يحطم به الصنمية ويكسر المحرمات,wafiy ftitAHi lmu&tamari - qAlati l$~AEirapu $ariyfapa ls~ay~id - <in~a lEaq~Ada it~axa*a mina lqirA'api wAl<iT~ilAEi EalY kul~i lEuluwm - wamuxtalafi lHaDArAt - silAHan yuHaT~imu bihi lS~anamiy~apa - wayaksiru lmuHar~amAt,20.66,24
ARA NORM  0086.wav,وفي كوريا الجنوبية تقوم الحكومة بتمويل مستشفيات لعلاج هذا الإدمان الذي يعتبر مشكلة قومية.,wafiy kuwryA ljanuwbiy~api taquwmu lHukuwmapu bitamwiyli musta$fayAtin liEilAji ha*A l<idmAni l~a*iy yuEtabaru mu$kilapan qawmiy~apan,10.92,14
ARA NORM  0087.wav,وكان الأمل أن تكون هذه الديمقراطيات مصحوبة بأداء تنموي مختلف,wakAna l>amalu >an takuwna ha*ihi ld~iymuqrATiy~Atu - maSHuwbapan bi>adA'in tanmawiy~in muxtalif,8.64,10
ARA NORM  0088.wav,وكتبوا في دورية الكلية الأمريكية لأمراض القلب أن السمنة ترتبط بحدوث تغييرات في القلب لدى البالغين,wakatabuwA fiy dawriy~api lkul~iy~api l>amiyrikiy~api li>amrADi lqalb - >an~a ls~umnapa tartabiTu biHuduw^i tagayiyrAt - fiy lqalbi ladY lbAligiyn,12.76,16
ARA NORM  0089.wav,وكل ذلك بمحتوى منخفض للغاية من السعرات الحرارية,wakul~u *alika bimuHtawYan munxafiDin lilgAyapi mina ls~uErAti lHarAriy~api,6.32,8
ARA NORM  0090.wav,وكلما زادت كمية السكر المتناولة مع التمر تقل فائدته الغذائية,wakul~amA zAdat kamiy~apu ls~uk~ari lmutanAwalapi maEa lt~amri taqil~u fA}idatuhu lgi*A}iy~apu,8.22,10
ARA NORM  0091.wav,ولا يزال هذا البلد متمسكاً بتقويم الكنيسة القبطية المعروف محلياً بالتقويم الإثيوبي.,walA yazAlu ha*A lbaladu mutamas~ikan bitaqwiymi lkaniysapi lqibTiy~api - >almaEruwfi maHal~iy~an biAlt~aqwiymi l<i^yuwbiy~i,10.43,12
ARA NORM  0092.wav,ولاعبة الخبرة دورها في التتويج عاشور الخامس عالمياً,walaEibati lxibrapu dawrahA fiy tatwiyji EA$uwra lxAmisi EAlamiy~an,6.33,8
ARA NORM  0093.wav,تتوالى العمليات السرية بالحدوث,tatawAlY lEamalyAtu ls~ir~iyapa biAlHuduw^,3.97,4
ARA NORM  0094.wav,ومن تلك السلع الشاي الصيني والورق والبارود والبوصلة,wamin tilka ls~ilaE - >al$~Ayu lS~iyniy~u - wAlwaraqu wAlbAruwdu wAlbuwSilapu,7.16,8
ARA NORM  0095.wav,ومنح آباؤهم القدرة على التحكم في كيفية استخدام هذه الخدمة,wamanaHa >AbA}uhumu lqudrapa EalY lt~aHak~umi fiy kayfiy~api stixdAmi ha*ihi lxidmapi,7.18,10
