sample_id,reference,hypothesis,wer,cer,duration
18,! لست المذنب ، حضرة المفتش,لست المذنب حضرة المفتش,0.3333,0.1538,4.7
19,.لا تقل ذلك,لا تقول ذلك,0.6667,0.1818,3.02
20,يا ليل هجر الحبيب طلت على,يا ليل هجر الحبيب طلت على,0.0,0.0,4.75
21,إن جمال ينتظر سارا.,إنك ما لا ينتظر سعر,1.0,0.3684,3.2
22,ارسم لي خروفاً!,أرسم لي خروفا,0.6667,0.2,2.9
23,أين المشكلة ؟,أين المشكل؟,0.6667,0.1538,2.98
24,كم ذا تموه بالشعبين والعلم,كم ذا تموه بالشعبين والعلم,0.0,0.0,4.75
25,قل لعبد القوي أنت قوي,قل لعبد القوي أنت قوي,0.0,0.0,5.15
26,قد قلت لابن أبي الشوارب مشفقا,قد قلت لابني أبي الشوارب مشفقا,0.1667,0.0345,4.03
27,.لا تلمس الجرح,لا تلمس الجرح,0.3333,0.0714,5.98
28,لا تقف بعد عزم شهر الصيام,لا تقف بعد عزم شهر الصيام,0.0,0.0,4.32
29,وَلِلَّهِ يَسْجُدُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ مِنْ دَابَّةٍ وَالْمَلَائِكَةُ وَهُمْ لَا يَسْتَكْبِرُونَ,وَلِلَّهِ يَسْجُدُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ مِنْ دَابَّةٍ وَالْمَلَائِكَتُهُمْ لَا يَزْتَكْبِرُونَ,0.4286,0.0932,7.31
30,إن الحق معك,انا الحق معك,0.3333,0.1818,7.56
31,أنا من أهوى ومن أهوى أنا,أنا من أهوى ومن أهوى أنا,0.0,0.0,4.86
32,ذهبت إلى هناك أيضاً.,ذهب سا إلى هناك ايضا,0.75,0.3,2.88
33,كم كربة ضاق صدري عن تحملها,كم قربة تنضق الصدري عن تحميها؟,0.6667,0.3077,4.18
34,.صرخوا طالبين النجدة,صرفوا طالب النجدة,0.6667,0.2,4.15
35,لي أربعون من السنين,ل tanto من تشكريoverstem.com مر بالنمو,1.25,1.5789,7.85
36,أواجه صعوبةً في التحدث عن مشاعري.,واجه صعوبة في التحدث عن مشاعري,0.5,0.0909,3.53
37,تقوم أمي بإعداد كعكة لأجل أبي.,تكون بذاتك حكاية من أجلالي,1.0,0.7,5.86
38,مدحت معاشرا عررا,اشتركوا في القناة,1.0,0.875,3.38
39,.ستنجزه خلال أربعاً و عشرين ساعة,ستنجزه خلال 24 ساعة,0.6667,0.4688,7.06
40,لك الحمد كلا يجبر الشعب كسره,لك الحمد لله يجبر الشعب كسوه,0.3333,0.1071,5.76
41,.يجب أن لا تلعب,ياجيبو ألاتنب,1.0,0.6,3.48
42,نزع القريض إلى حمى نقاشه,نزع القريط إلى حما نقاشة,0.6,0.125,4.68
43,رويدك قد غررت وأنت حر,روايدك قد غريوت وانت حرون,0.8,0.2857,4.43
44,يعز علي قبر بعد مهد,يا عز علي قبر بعد مهد,0.4,0.1053,3.6
45,سألتني إذا كنت على ما يرام.,سألتني إذا كنت على ما يرام,0.1667,0.037,4.42
46,الحقيقة هي أنّك جبان.,الحقيقة هي أنك جبان,0.5,0.0952,6.62
47,ذهب الناس فاستقلوا وصرنا,ذهب الناس في استقل وصرنا,0.5,0.1667,5.22
48,يا أعز الناس عندي,يا عز الناس انتي,0.5,0.1765,3.35
49,أتى عدة مرات.,ستعدث مرات,1.0,0.3846,3.82
50,لمعْدةٍ شيطانُها رجيمُ,لمعدة شيطان هارجي,1.0,0.2727,4.07
51,شغلته أشغال عن الآرام,شغلته أشغال عن الأرام,0.25,0.0476,3.2
52,وَرَوَى حُمَيْدٌ عَنْ أَنَسٍ أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ,وروا حميد عن أنس أن النبي صلى الله عليه وسلم قال,1.0,0.4471,7.6
53,سيدي أنت لم أقل سيدي أنت,سيهي أذن لم أقل سيهي أذن,0.6667,0.25,4.36
54,العربة المجرورة اخترعت في الصين.,العربة المجرورة اخترعت في الصين,0.2,0.0312,5.22
55,استعمل فاضل اسما مستعارا.,يستعمل في هذه الإسم مستغارا,1.25,0.44,4.68
56,يا حسنه قمرا وأنت سماؤه,يا حسنهم قمرا وأنت سمعون,0.4,0.1739,4.14
57,لقد عجلتني نظرتي بهواكا,لقد عدلتني نطرتي بهواكأ,0.75,0.1304,4.32
58,.إخترقت الرصاصة جسده,افترقت الرسالة الصحية والشاسدة,1.3333,0.85,3.14
59,.يتحركون من مكان إلى آخر,يتحركون من مكان إلى آخر,0.2,0.0417,4.22
60,كان موتها صدمة كبيرة بالنسبة لي.,كان موتها صدمة كبيرة بالنسبة لدي,0.1667,0.0625,4.85
61,تاه الأعيرج واستعلى به الخطر,فهل أعيبج واستعلى به الخطط,0.6,0.25,4.5
62,من سيكذب لأجلك ، سيكذب عليك.,لا تنسى الاشتراك بالقناة,1.0,0.8214,4.2
63,كل جهد يستحق المكافأة.,كل جهد يستحق المكافأة,0.25,0.0455,3.74
64,كانت ليلى تعيش في القاهرة.,كانت ليلة تعيش في القاهرة,0.4,0.0769,3.42
65,أم كلثوم في فنون الأغاني,ومكلثون في فنون العراني,0.6,0.2083,4.97
66,هربت هرة بيتي يوم عيدى,حربة حروة بيت يوم عيدي,0.8,0.2727,3.89
67,وممشق الحركات تحسب نصفه,وممشق الحركات تحسب نسبه,0.25,0.087,5.76
68,وجدت سكوتي متجرا فلزمته,وجدت سكوتي مدجراً فلازمت,0.5,0.1739,4.9
69,أيلتمس الناس الغنى فيصيبهم,اي التمس الناس الغناء فيصيبهم,0.75,0.1923,5.87
70,ما رأيك في اللغة اليابانية ؟,ما رعيك في اللغة اليابانية,0.3333,0.1071,3.91
71,سرق الدهر شبابي من يدي,سرقت دهر شبابي من يدي,0.4,0.1364,3.64
72,أتحسب سوء الظن يجرح في فكري,التحسب سواء يجرح فيه فكري,0.6667,0.2963,4.36
73,وصلتني رسالتك بالأمس.,وصلتني رسالتك بالأمس,0.3333,0.0476,3.22
74,قالوا فروق الملك دار مخاوف,قال فروق الملك درمخور,0.6,0.2308,3.71
75,"كيف تشرح هذا ""أنا لا أستطيع.""",كيف التشروح لهذا؟ أنا لا استطيع,0.6667,0.3103,4.93
76,وَلَا يَسْتَثْقِلَهَا كَارِهًا,ولا يستثق لها كارها,1.3333,0.4,5.8
77,كم الساعة ؟,تميسا,1.0,0.7273,2.74
78,ما لقوم اذا يقال علي,ما لقوم إذا يقال عليهم,0.4,0.15,4.72
79,وخضراء من حوك الربيع شهدتها,وخذ رائع من حواك الربية شهد تهب,1.2,0.2963,5.51
80,ألا نسيا نفسي حديث البلابلِ,ألا نسيّأ نفسي حديث البلابلي,0.4,0.1111,3.92
81,.إنتهى وقتك,انتهى وقتك,0.5,0.1818,3.34
82,تفيء الأيور على أهلها,تُفِي الأيور على أهلها.,0.5,0.1905,3.17
83,عما كانوا يعملون,عما كانوا يعملون,0.0,0.0,3.13
84,حليف بلوى شكا جورا فقلت له,حليف بلوى شكى جورا فقلت له,0.1667,0.0385,4.14
85,مواهب وهاب وقى بعضها بعضا,مواهب وهاب وقابع بهابابك,0.6,0.32,4.68
86,وَما هُوَ بِقَولِ شَيطانٍ رَجيمٍ,وما هو بقول شيطان رجيم,1.0,0.3125,4.25
87,.أعرف تلك الفتاة,اعرف تلك الفتاة,0.3333,0.125,5.09
88,ما زال حر الشوق يغلب صبرها,ما زال حر الشوق يغلق صبرها,0.1667,0.0385,5.58
89,قطع توم النهر سباحة.,كطع طم النهر صباحة,0.75,0.25,3.42
90,.سؤال جيد,سواء لم جيد,1.0,0.5556,2.5
91,لا تستمع إليه ، ما يقوله هراء.,لا تستمع إليه ما يقوله راب,0.2857,0.1667,4.94
92,لماذا تسأل ؟,لماذا تستطع,0.6667,0.3333,2.02
93,.هذا عمل نافع,هذا عمل نافع,0.3333,0.0769,4.18
94,هل للقلوب من العيون خلاص,هل القلوب من العيون خلاص؟,0.4,0.0833,4.68
95,أبا حسن إنني ناصح,أبا حسن إنني ناصح,0.0,0.0,3.71
96,يا بخيلا وكل نظرة عين,يا بخير نوقلي نظرة عين,0.4,0.2381,4.39
97,ديوان المطبوعات الجامعية,ديوان المطبوعة الجامعية,0.3333,0.0833,5.4
98,إنها جميلة جداً.,انها جميلة جدا,0.6667,0.1875,4.27
99,طوبى لمن رفض الفتاة وقد غدا,طوبة لمن رفض الفتاة وقد غدا,0.1667,0.037,3.53
100,لا أذكر بدقة.,لا أذكر بدقة,0.3333,0.0769,3.31
